episode,episode_reward,loss,mean_entropy
0,1.8,0.0378,1.6088
10,-2.0,-0.1408,1.6059
20,13.2,-0.5548,1.6037
30,-15.8,-0.0583,1.5999
40,-39.1,-0.0711,1.5931
50,3.0,-0.8897,1.5809
60,-34.2,-0.802,1.5631
70,-14.6,-0.0746,1.5435
80,-6.4,0.18,1.5054
90,-15.8,-3.1046,1.4903
100,-2.8,-4.2773,1.4449
110,-12.6,0.0534,1.3872
120,-26.2,0.4031,1.2968
130,-33.0,-3.2962,1.243
140,10.0,-0.3937,1.1089
150,27.4,-3.8838,1.0329
160,0.8,4.7774,1.0361
170,33.8,0.0775,1.0422
180,-3.2,1.7732,1.0703
190,37.0,7.199,0.9343
200,24.2,1.9105,1.0247
210,-8.2,0.4303,1.0519
220,4.4,-6.2235,0.933
230,9.0,-0.434,0.8864
240,46.8,-1.17,0.891
250,-43.2,2.9701,0.992
260,-5.2,-0.8698,0.91
270,28.8,-4.2796,0.8165
280,-37.6,4.3129,0.9095
290,9.0,-0.6839,0.8466
299,9.4,-2.6462,1.0176
